rank,phase,hostile_rank,paper_id,title,year,venue,authors,doi,url,cited_by_count,source_query,relevance_score,hostile_relevance,topic_tags,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract
885,landscape,,https://openalex.org/W3130567206,"Unmanned Aerial Vehicles for Wildland Fires: Sensing, Perception, Cooperation and Assistance",2021,Drones,Moulay A. Akhloufi; Andy Couturier; Nicolás A. Castro,https://doi.org/10.3390/drones5010015,https://doi.org/10.3390/drones5010015,170,robot planning under uncertainty belief state POMDP,4.8708,0.0,robust/risk/chance,Guarantee or bias robot behavior against low-probability failures under uncertainty.,"Use robust sets, chance constraints, risk measures, tubes, or conservative model predictive control.",risk envelope is specified before the task decision; conservatism is preferable to ambiguity-sensitive commitment,"risk threshold, uncertainty set, safety constraint family, fallback controller","over-conservatism, poor discrimination between action-relevant and nuisance ambiguity, brittle thresholds",risk-sensitive or robust wrappers around uncertainty,control-relevant ambiguity certificates not reducible to generic risk bounds,"Wildfires represent a significant natural risk causing economic losses, human death and environmental damage. In recent years, the world has seen an increase in fire intensity and frequency. Research has been conducted towards the development of dedicated solutions for wildland fire assistance and fighting. Systems were proposed for the remote detection and tracking of fires. These systems have shown improvements in the area of efficient data collection and fire characterization within small-scale environments. However, wildland fires cover large areas making some of the proposed ground-based systems unsuitable for optimal coverage. To tackle this limitation, unmanned aerial vehicles (UAV) and unmanned aerial systems (UAS) were proposed. UAVs have proven to be useful due to their maneuverability, allowing for the implementation of remote sensing, allocation strategies and task planning. They can provide a low-cost alternative for the prevention, detection and real-time support of firefighting. In this paper, previous works related to the use of UAV in wildland fires are reviewed. Onboard sensor instruments, fire perception algorithms and coordination strategies are considered. In addition, some of the recent frameworks proposing the use of both aerial vehicles and unmanned ground vehicles (UGV) for a more efficient wildland firefighting strategy at a larger scale are presented."
886,landscape,,https://openalex.org/W4385965561,ConservationBots: Autonomous aerial robot for fast robust wildlife tracking in complex terrains,2023,Journal of Field Robotics,Fei Chen; Hoa Van Nguyen; David Taggart; Katrina Falkner; S. Hamid Rezatofighi; Damith C. Ranasinghe,https://doi.org/10.1002/rob.22270,https://doi.org/10.1002/rob.22270,14,robot planning under uncertainty belief state POMDP,4.854,0.8,manipulation/contact; navigation/localization; motion planning/MPC; robust/risk/chance,Guarantee or bias robot behavior against low-probability failures under uncertainty.,"Use robust sets, chance constraints, risk measures, tubes, or conservative model predictive control.",risk envelope is specified before the task decision; conservatism is preferable to ambiguity-sensitive commitment,"risk threshold, uncertainty set, safety constraint family, fallback controller","over-conservatism, poor discrimination between action-relevant and nuisance ambiguity, brittle thresholds",risk-sensitive or robust wrappers around uncertainty,control-relevant ambiguity certificates not reducible to generic risk bounds,"Abstract Radio tagging and tracking are fundamental to understanding the movements and habitats of wildlife in their natural environments. Today, the most widespread, widely applicable technology for gathering data relies on experienced scientists armed with handheld radio‐telemetry equipment to locate low‐power radio transmitters attached to wildlife from the ground. Although aerial robots can transform labor‐intensive conservation tasks, the realization of autonomous systems for tackling task complexities under real‐world conditions remains a challenge. We developed ConservationBots —small aerial robots for tracking multiple, dynamic, radio‐tagged wildlife. The aerial robot achieves robust localization performance and fast task completion times—significant for energy‐limited aerial systems while avoiding close encounters with potential, counterproductive disturbances to wildlife. Our approach overcomes the technical and practical problems posed by combining a lightweight sensor with new concepts: (i) planning to determine both trajectory and measurement actions guided by an information‐theoretic objective, which allows the robot to strategically select near‐instantaneous range‐only measurements to achieve faster localization, and time‐consuming sensor rotation actions to acquire bearing measurements and achieve robust tracking performance; (ii) a bearing detector more robust to noise; and (iii) a tracking algorithm formulation robust to missed and false detections experienced in real‐world conditions. We conducted extensive studies: simulations built upon complex signal propagation over high‐resolution elevation data on diverse geographical terrains; field testing; studies with wombats ( Lasiorhinus latifrons ; nocturnal, vulnerable species dwelling in underground warrens) and tracking comparisons with a highly experienced biologist to validate the effectiveness of our aerial robot and demonstrate the significant advantages over the manual method."
887,landscape,,https://openalex.org/W4404909622,Modelling and verifying BDI agents under uncertainty,2024,Science of Computer Programming,Blair Archibald; Michele Sevegnani; Mengwei Xu,https://doi.org/10.1016/j.scico.2024.103254,https://doi.org/10.1016/j.scico.2024.103254,4,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,4.8047,3.0,robust/risk/chance; task abstraction,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Belief-Desire-Intention (BDI) agents feature uncertain beliefs (e.g. sensor noise), probabilistic action outcomes (e.g. attempting and action and failing), and non-deterministic choices (e.g. what plan to execute next). To be safely applied in real-world scenarios we need reason about such agents, for example, we need probabilities of mission success and the strategies used to maximise this. Most agents do not currently consider uncertain beliefs, instead a belief either holds or does not. We show how to use epistemic states to model uncertain beliefs, and define a Markov Decision Process for the semantics of the Conceptual Agent Notation ( Can ) agent language allowing support for uncertain beliefs, non-deterministic event, plan, and intention selection, and probabilistic action outcomes. The model is executable using an automated tool— CAN-verify —that supports error checking, agent simulation, and exhaustive exploration via an encoding to Bigraphs that produces transition systems for probabilistic model checkers such as PRISM. These model checkers allow reasoning over quantitative properties and strategy synthesis. Using the example of an autonomous submarine and drone surveillance together with scalability experiments, we demonstrate our approach supports uncertain belief modelling, quantitative model checking, and strategy synthesis in practice."
888,landscape,,https://openalex.org/W4389266945,Social Interaction‐Aware Dynamical Models and Decision‐Making for Autonomous Vehicles,2023,Advanced Intelligent Systems,Luca Crosato; Kai Tian; Hubert P. H. Shum; Edmond S. L. Ho; Yafei Wang; Chongfeng Wei,https://doi.org/10.1002/aisy.202300575,https://doi.org/10.1002/aisy.202300575,54,robotics partial observability POMDP belief space planning,4.8037,0.0,robust/risk/chance; learning/world models; multi-agent/human,Guarantee or bias robot behavior against low-probability failures under uncertainty.,"Use robust sets, chance constraints, risk measures, tubes, or conservative model predictive control.",risk envelope is specified before the task decision; conservatism is preferable to ambiguity-sensitive commitment,"risk threshold, uncertainty set, safety constraint family, fallback controller","over-conservatism, poor discrimination between action-relevant and nuisance ambiguity, brittle thresholds",risk-sensitive or robust wrappers around uncertainty,control-relevant ambiguity certificates not reducible to generic risk bounds,"Interaction‐aware autonomous driving (IAAD) is a rapidly growing field of research that focuses on the development of autonomous vehicles (AVs) that are capable of interacting safely and efficiently with human road users. This is a challenging task, as it requires the AV to be able to understand and predict the behaviour of human road users. In this literature review, the current state of IAAD research is surveyed. Commencing with an examination of terminology, attention is drawn to challenges and existing models employed for modeling the behaviour of drivers and pedestrians. Next, a comprehensive review is conducted on various techniques proposed for interaction modeling, encompassing cognitive methods, machine‐learning approaches, and game‐theoretic methods. The conclusion is reached through a discussion of potential advantages and risks associated with IAAD, along with the illumination of pivotal research inquiries necessitating future exploration."
889,landscape,,https://openalex.org/W2914430038,Cost-Based Goal Recognition in Navigational Domains,2019,Journal of Artificial Intelligence Research,Peta Masters; Sebastian Sardiña,https://doi.org/10.1613/jair.1.11343,https://doi.org/10.1613/jair.1.11343,35,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,4.7918,0.5,navigation/localization; learning/world models,"Make embodied decisions when perception, dynamics, or maps are uncertain.","Introduce a domain-specific planner, estimator, controller, or learning method.",represented uncertainty aligns with control relevance; model and task structure remain stable,"state variables, sensing costs, actuation model, task objective","irrelevant uncertainty, hidden coupling between representation size and decision quality",domain-specific uncertainty handling in robotics,minimal ambiguity objects that certify when more belief detail is unnecessary,"Goal recognition is the problem of determining an agent's intent by observing her behaviour. Contemporary solutions for general task-planning relate the probability of a goal to the cost of reaching it. We adapt this approach to goal recognition in the strict context of path-planning. We show (1) that a simpler formula provides an identical result to current state-of-the-art in less than half the time under all but one set of conditions. Further, we prove (2) that the probability distribution based on this technique is independent of an agent's past behaviour and present a revised formula that achieves goal recognition by reference to the agent's starting point and current location only. Building on this, we demonstrate (3) that a Radius of Maximum Probability (i.e., the distance from a goal within which that goal is guaranteed to be the most probable) can be calculated from relative cost-distances between the candidate goals and a start location, without needing to calculate any actual probabilities. In this extended version of earlier work, we generalise our framework to the continuous domain and discuss our results, including the conditions under which our findings can be generalised back to goal recognition in general task-planning."
890,landscape,,https://openalex.org/W326245813,A Multi-agent Architecture with Distributed Coordination for an Autonomous Robot,2008,RECERCAT (Consorci de Serveis Universitaris de Catalunya),Bianca Innocenti,,https://openalex.org/W326245813,12,robot planning under uncertainty belief state POMDP,4.7825,0.8,manipulation/contact; multi-agent/human,"Make embodied decisions when perception, dynamics, or maps are uncertain.","Introduce a domain-specific planner, estimator, controller, or learning method.",represented uncertainty aligns with control relevance; model and task structure remain stable,"state variables, sensing costs, actuation model, task objective","irrelevant uncertainty, hidden coupling between representation size and decision quality",domain-specific uncertainty handling in robotics,minimal ambiguity objects that certify when more belief detail is unnecessary,"Aquest treball proposa una nova arquitectura de control amb coordinació distribuïda per a un robot mòbil (ARMADiCo). La metodologia de coordinació distribuïda consisteix en dos passos: el primer determina quin és l'agent que guanya el recurs basat en el càlcul privat de la utilitat i el segon, com es fa el canvi del recurs per evitar comportaments abruptes del robot. Aquesta arquitectura ha estat concebuda per facilitar la introducció de nous components hardware i software, definint un patró de disseny d'agents que captura les característiques comunes dels agents. Aquest patró ha portat al desenvolupament d'una arquitectura modular dins l'agent que permet la separació dels diferents mètodes utilitzats per aconseguir els objectius, la col·laboració, la competició i la coordinació de recursos. ARMADiCo s'ha provat en un robot Pioneer 2DX de MobileRobots Inc.. S'han fet diversos experiments i els resultats han demostrat que s'han aconseguit les característiques proposades per l'arquitectura."
891,landscape,,https://openalex.org/W2605147510,Decentralized Planning in Stochastic Environments with Submodular Rewards,2017,Proceedings of the AAAI Conference on Artificial Intelligence,Rajiv Kumar; Pradeep Varakantham; Akshat Kumar,https://doi.org/10.1609/aaai.v31i1.10709,https://doi.org/10.1609/aaai.v31i1.10709,12,robot planning under uncertainty belief state POMDP,4.7825,1.0,general robot uncertainty,"Make embodied decisions when perception, dynamics, or maps are uncertain.","Introduce a domain-specific planner, estimator, controller, or learning method.",represented uncertainty aligns with control relevance; model and task structure remain stable,"state variables, sensing costs, actuation model, task objective","irrelevant uncertainty, hidden coupling between representation size and decision quality",domain-specific uncertainty handling in robotics,minimal ambiguity objects that certify when more belief detail is unnecessary,"Decentralized Markov Decision Process (Dec-MDP) provides a rich framework to represent cooperative decentralized and stochastic planning problems under transition uncertainty. However, solving a Dec-MDP to generate coordinated yet decentralized policies is NEXP-Hard. Researchers have made significant progress in providing approximate approaches to improve scalability with respect to number of agents. However, there has been little or no research devoted to finding guarantees on solution quality for approximate approaches considering multiple (more than 2 agents) agents. We have a similar situation with respect to the competitive decentralized planning problem and the Stochastic Game (SG) model. To address this, we identify models in the cooperative and competitive case that rely on submodular rewards, where we show that existing approximate approaches can provide strong quality guarantees ( a priori, and for cooperative case also posteriori guarantees). We then provide solution approaches and demonstrate improved online guarantees on benchmark problems from the literature for the cooperative case."
892,landscape,,https://openalex.org/W2966839740,Influencing Leading and Following in Human-Robot Teams,2019,,Minae Kwon; Mengxi Li; Alexandre Bucquet; Dorsa Sadigh,https://doi.org/10.15607/rss.2019.xv.075,https://doi.org/10.15607/rss.2019.xv.075,11,robot planning under uncertainty belief state POMDP,4.7425,0.8,multi-agent/human,"Make embodied decisions when perception, dynamics, or maps are uncertain.","Introduce a domain-specific planner, estimator, controller, or learning method.",represented uncertainty aligns with control relevance; model and task structure remain stable,"state variables, sensing costs, actuation model, task objective","irrelevant uncertainty, hidden coupling between representation size and decision quality",domain-specific uncertainty handling in robotics,minimal ambiguity objects that certify when more belief detail is unnecessary,"Recent efforts in human-robot interaction have been focused on modeling and interacting with single human agents. However, when modeling teams of humans, current models are not able to capture underlying emergent dynamics that define group behavior, such as leading and following. We introduce a mathematical framework that enables robots to influence human teams by modeling emergent leading and following behaviors. We tackle the task in two steps. First, we develop a scalable representation of latent leading-following structures by combining modelbased methods and data-driven techniques. Second, we optimize for a robot policy that leverages this representation to influence a human team toward a desired outcome. We demonstrate our approach on three tasks where a robot optimizes for changing a leader-follower relationship, distracting a team, and leading a team towards an optimal goal. Our evaluations show that our representation is scalable with different human team sizes, generalizable across different tasks, and can be used to design meaningful robot policies."
893,landscape,,https://openalex.org/W2997909270,Scalable Decision-Theoretic Planning in Open and Typed Multiagent Systems,2020,,Adam Eck; Maulik Shah; Prashant Doshi; Leen‐Kiat Soh,https://doi.org/10.1609/aaai.v34i05.6200,https://doi.org/10.1609/aaai.v34i05.6200,11,robot planning under uncertainty belief state POMDP,4.7425,0.8,learning/world models; multi-agent/human,"Make embodied decisions when perception, dynamics, or maps are uncertain.","Introduce a domain-specific planner, estimator, controller, or learning method.",represented uncertainty aligns with control relevance; model and task structure remain stable,"state variables, sensing costs, actuation model, task objective","irrelevant uncertainty, hidden coupling between representation size and decision quality",domain-specific uncertainty handling in robotics,minimal ambiguity objects that certify when more belief detail is unnecessary,"In open agent systems, the set of agents that are cooperating or competing changes over time and in ways that are nontrivial to predict. For example, if collaborative robots were tasked with fighting wildfires, they may run out of suppressants and be temporarily unavailable to assist their peers. We consider the problem of planning in these contexts with the additional challenges that the agents are unable to communicate with each other and that there are many of them. Because an agent's optimal action depends on the actions of others, each agent must not only predict the actions of its peers, but, before that, reason whether they are even present to perform an action. Addressing openness thus requires agents to model each other's presence, which becomes computationally intractable with high numbers of agents. We present a novel, principled, and scalable method in this context that enables an agent to reason about others' presence in its shared environment and their actions. Our method extrapolates models of a few peers to the overall behavior of the many-agent system, and combines it with a generalization of Monte Carlo tree search to perform individual agent reasoning in many-agent open environments. Theoretical analyses establish the number of agents to model in order to achieve acceptable worst case bounds on extrapolation error, as well as regret bounds on the agent's utility from modeling only some neighbors. Simulations of multiagent wildfire suppression problems demonstrate our approach's efficacy compared with alternative baselines."
894,landscape,,https://openalex.org/W2963921033,Real-Time Stochastic Optimal Control for Multi-agent Quadrotor Systems,2015,arXiv (Cornell University),Vicenç Gómez; Sep Thijssen; Andrew Symington; Stephen Hailes; Hilbert J. Kappen,https://doi.org/10.48550/arxiv.1502.04548,https://doi.org/10.48550/arxiv.1502.04548,16,robotics partial observability POMDP belief space planning,4.7166,0.0,motion planning/MPC; multi-agent/human,"Make embodied decisions when perception, dynamics, or maps are uncertain.","Introduce a domain-specific planner, estimator, controller, or learning method.",represented uncertainty aligns with control relevance; model and task structure remain stable,"state variables, sensing costs, actuation model, task objective","irrelevant uncertainty, hidden coupling between representation size and decision quality",domain-specific uncertainty handling in robotics,minimal ambiguity objects that certify when more belief detail is unnecessary,"This paper presents a novel method for controlling teams of unmanned aerial vehicles using Stochastic Optimal Control (SOC) theory. The approach consists of a centralized high-level planner that computes optimal state trajectories as velocity sequences, and a platform-specific low-level controller which ensures that these velocity sequences are met. The planning task is expressed as a centralized path-integral control problem, for which optimal control computation corresponds to a probabilistic inference problem that can be solved by efficient sampling methods. Through simulation we show that our SOC approach (a) has significant benefits compared to deterministic control and other SOC methods in multimodal problems with noise-dependent optimal solutions, (b) is capable of controlling a large number of platforms in real-time, and (c) yields collective emergent behaviour in the form of flight formations. Finally, we show that our approach works for real platforms, by controlling a team of three quadrotors in outdoor conditions."
895,landscape,,https://openalex.org/W2984075506,Robot Assistance in Dynamic Smart Environments—A Hierarchical Continual Planning in the Now Framework,2019,Sensors,Helen Harman; Keshav Chintamani; Pieter Simoens,https://doi.org/10.3390/s19224856,https://doi.org/10.3390/s19224856,10,robot planning under uncertainty belief state POMDP,4.6989,0.8,multi-agent/human,"Make embodied decisions when perception, dynamics, or maps are uncertain.","Introduce a domain-specific planner, estimator, controller, or learning method.",represented uncertainty aligns with control relevance; model and task structure remain stable,"state variables, sensing costs, actuation model, task objective","irrelevant uncertainty, hidden coupling between representation size and decision quality",domain-specific uncertainty handling in robotics,minimal ambiguity objects that certify when more belief detail is unnecessary,"By coupling a robot to a smart environment, the robot can sense state beyond the perception range of its onboard sensors and gain greater actuation capabilities. Nevertheless, incorporating the states and actions of Internet of Things (IoT) devices into the robot's onboard planner increases the computational load, and thus can delay the execution of a task. Moreover, tasks may be frequently replanned due to the unanticipated actions of humans. Our framework aims to mitigate these inadequacies. In this paper, we propose a continual planning framework, which incorporates the sensing and actuation capabilities of IoT devices into a robot's state estimation, task planing and task execution. The robot's onboard task planner queries a cloud-based framework for actuators, capable of the actions the robot cannot execute. Once generated, the plan is sent to the cloud back-end, which will inform the robot if any IoT device reports a state change affecting its plan. Moreover, a Hierarchical Continual Planning in the Now approach was developed in which tasks are split-up into subtasks. To delay the planning of actions that will not be promptly executed, and thus to reduce the frequency of replanning, the first subtask is planned and executed before the subsequent subtask is. Only information relevant to the current (sub)task is provided to the task planner. We apply our framework to a smart home and office scenario in which the robot is tasked with carrying out a human's requests. A prototype implementation in a smart home, and simulator-based evaluation results, are presented to demonstrate the effectiveness of our framework."
896,landscape,,https://openalex.org/W4313429049,Denotative and connotative management of uncertainty: A computational dual-process model,2021,Judgment and Decision Making,Jesse Hoey; Neil J. MacKinnon; Tobias Schröder,https://doi.org/10.1017/s1930297500008652,https://doi.org/10.1017/s1930297500008652,10,robot planning under uncertainty belief state POMDP,4.6989,3.0,task abstraction; multi-agent/human,Choose robot actions when observations do not identify the latent world state.,"Maintain or search over a belief-state representation, often with value approximation, sampling, or point-based backups.",posterior belief is the right sufficient statistic; observation and transition models are trusted; all represented uncertainty is potentially worth carrying,"task loss, action set, observation model, latent-state factorization, cost of maintaining belief","belief growth, nuisance uncertainty, model misspecification, control latency, irrelevant information-gathering","full belief-state planning, point-based POMDP approximation, sampled online planning",operators that discard uncertainty unable to alter the next control decision,"Abstract The interplay between intuitive and deliberative processing is known to be important for human decision making. As independent modes, intuitive processes can take on many forms from associative to constructive, while deliberative processes often rely on some notion of decision theoretic rationality or pattern matching. Dual process models attempt to unify these two modes based on parallel constraint networks or on socially or emotionally oriented adjustments to utility functions. This paper presents a new kind of dual process model that unifies decision theoretic deliberative reasoning with intuitive reasoning based on shared cultural affective meanings in a single Bayesian sequential model. Agents constructed according to this unified model are motivated by a combination of affective alignment (intuitive) and decision theoretic reasoning (deliberative), trading the two off as a function of the uncertainty or unpredictability of the situation. The model also provides a theoretical bridge between decision-making research and sociological symbolic interactionism. Starting with a high-level view of existing models, we advance Bayesian Affect Control Theory ( BayesACT ) as a promising new type of dual process model that explicitly and optimally (in the Bayesian sense) trades off motivation, action, beliefs and utility. We demonstrate a key component of the model as being sufficient to account for some aspects of classic cognitive biases about fairness and dissonance, and outline how this new theory relates to parallel constraint satisfaction models."
897,landscape,,https://openalex.org/W4205255182,Humans depart from optimal computational models of interactive decision-making during competition under partial information,2022,Scientific Reports,Saurabh Kumar; Tessa Rusch; Prashant Doshi; Michael Spezio; Jan Gläscher,https://doi.org/10.1038/s41598-021-04272-x,https://doi.org/10.1038/s41598-021-04272-x,10,robot planning under uncertainty belief state POMDP,4.6989,1.0,learning/world models; multi-agent/human,Learn policies or world models that act under noisy embodied observations.,"Train neural policies, recurrent state estimators, latent world models, or reinforcement-learning controllers.",data can teach the policy which uncertainty matters; latent size and recurrence can absorb ambiguity,"training distribution, architecture, reward, simulator fidelity","opaque uncertainty use, distribution shift, bloat in recurrent latent state, weak control-time certificates",larger learned world models or RL policies for uncertainty,explicit task-indexed ambiguity tests with auditable control consequences,"Decision making under uncertainty in multiagent settings is of increasing interest in decision science. The degree to which human agents depart from computationally optimal solutions in socially interactive settings is generally unknown. Such understanding provides insight into how social contexts affect human interaction and the underlying contributions of Theory of Mind. In this paper, we adapt the well-known 'Tiger Problem' from artificial-agent research to human participants in solo and interactive settings. Compared to computationally optimal solutions, participants gathered less information before outcome-related decisions when competing than cooperating with others. These departures from optimality were not haphazard but showed evidence of improved performance through learning. Costly errors emerged under conditions of competition, yielding both lower rates of rewarding actions and accuracy in predicting others. Taken together, this work provides a novel approach and insights into studying human social interaction when shared information is partial."
898,landscape,,https://openalex.org/W4299732522,High-Frequency Replanning Under Uncertainty Using Parallel Sampling-Based Motion Planning,2020,UNC Libraries,Sachin Patil; Wen Sun; Ron Alterovitz,https://doi.org/10.17615/yk4n-de19,https://doi.org/10.17615/yk4n-de19,5,robot planning under uncertainty belief state POMDP,4.6959,1.8,manipulation/contact; motion planning/MPC,"Make embodied decisions when perception, dynamics, or maps are uncertain.","Introduce a domain-specific planner, estimator, controller, or learning method.",represented uncertainty aligns with control relevance; model and task structure remain stable,"state variables, sensing costs, actuation model, task objective","irrelevant uncertainty, hidden coupling between representation size and decision quality",domain-specific uncertainty handling in robotics,minimal ambiguity objects that certify when more belief detail is unnecessary,"As sampling-based motion planners become faster, they can be re-executed more frequently by a robot during task execution to react to uncertainty in robot motion, obstacle motion, sensing noise, and uncertainty in the robot’s kinematic model. We investigate and analyze high-frequency replanning (HFR), where, during each period, fast sampling-based motion planners are executed in parallel as the robot simultaneously executes the first action of the best motion plan from the previous period. We consider discrete-time systems with stochastic nonlinear (but linearizable) dynamics and observation models with noise drawn from zero mean Gaussian distributions. The objective is to maximize the probability of success (i.e., avoid collision with obstacles and reach the goal) or to minimize path length subject to a lower bound on the probability of success. We show that, as parallel computation power increases, HFR offers asymptotic optimality for these objectives during each period for goal-oriented problems. We then demonstrate the effectiveness of HFR for holonomic and nonholonomic robots including car-like vehicles and steerable medical needles."
899,landscape,,https://openalex.org/W4386864394,A mathematical characterization of minimally sufficient robot brains,2023,The International Journal of Robotics Research,Başak Sakçak; Kalle G. Timperi; Vadim Weinstein; Steven M. LaValle,https://doi.org/10.1177/02783649231198898,https://doi.org/10.1177/02783649231198898,3,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,4.6931,0.8,learning/world models; multi-agent/human,Learn policies or world models that act under noisy embodied observations.,"Train neural policies, recurrent state estimators, latent world models, or reinforcement-learning controllers.",data can teach the policy which uncertainty matters; latent size and recurrence can absorb ambiguity,"training distribution, architecture, reward, simulator fidelity","opaque uncertainty use, distribution shift, bloat in recurrent latent state, weak control-time certificates",larger learned world models or RL policies for uncertainty,explicit task-indexed ambiguity tests with auditable control consequences,"This paper addresses the lower limits of encoding and processing the information acquired through interactions between an internal system (robot algorithms or software) and an external system (robot body and its environment) in terms of action and observation histories. Both are modeled as transition systems. We want to know the weakest internal system that is sufficient for achieving passive (filtering) and active (planning) tasks. We introduce the notion of an information transition system (ITS) for the internal system which is a transition system over a space of information states that reflect a robot’s or other observer’s perspective based on limited sensing, memory, computation, and actuation. An ITS is viewed as a filter and a policy or plan is viewed as a function that labels the states of this ITS. Regardless of whether internal systems are obtained by learning algorithms, planning algorithms, or human insight, we want to know the limits of feasibility for given robot hardware and tasks. We establish, in a general setting, that minimal information transition systems (ITSs) exist up to reasonable equivalence assumptions, and are unique under some general conditions. We then apply the theory to generate new insights into several problems, including optimal sensor fusion/filtering, solving basic planning tasks, and finding minimal representations for modeling a system given input-output relations."
900,landscape,,https://openalex.org/W3094306551,Mobile Robot Localization Based on Gradient Propagation Particle Filter Network,2020,IEEE Access,Heng Zhang; Jiemao Wen; Yanli Liu; Wenqing Luo; Naixue Xiong,https://doi.org/10.1109/access.2020.3031618,https://doi.org/10.1109/access.2020.3031618,3,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,4.6931,0.8,navigation/localization; robust/risk/chance; learning/world models,Guarantee or bias robot behavior against low-probability failures under uncertainty.,"Use robust sets, chance constraints, risk measures, tubes, or conservative model predictive control.",risk envelope is specified before the task decision; conservatism is preferable to ambiguity-sensitive commitment,"risk threshold, uncertainty set, safety constraint family, fallback controller","over-conservatism, poor discrimination between action-relevant and nuisance ambiguity, brittle thresholds",risk-sensitive or robust wrappers around uncertainty,control-relevant ambiguity certificates not reducible to generic risk bounds,"In order to solve the problem that the gradient information can’t propagate backward due to the non-differentiability of resampling process in the end-to-end training of Differentiable Particle Filters (DPFs) network model, a particle filter network with gradient propagation is proposed in this article. It uses a differentiable resampling process in the network and is called Gradient Propagation Particle Filter Network(GPPFN). Firstly, an auxiliary noise vector is added to approximate the particle distribution in the resampling process, so that it can be represented by a certain differentiable function. Then, the method is applied to GPPFN model to make the gradient information generated in the training process can be propagated. It can provide the information of previous prediction and update steps for the next step prediction, so as to improve the accuracy of robot localization. In this article, experiments are carried out in the simulation environment of Deepmind lab. GPPFN is used to train the motion model and measurement model respectively, and the training effect is expressed by likelihood degree. The lower the likelihood degree is, the more consistent the training results are. The experiments show that the likelihood loss of motion model and measurement model are reduced by using GPPFN. Finally, The GPPFN model is compared with other methods. The training results showed that compared with the others, the training results of GPPFN has lower error rate and better robustness."
901,landscape,,https://openalex.org/W2967966594,Computing Multi-Modal Journey Plans under Uncertainty,2019,Journal of Artificial Intelligence Research,Adi Botea; Akihiro Kishimoto; Evdokia Nikolova; Stefano Braghin; Michele Berlingerio; Elizabeth Daly,https://doi.org/10.1613/jair.1.11422,https://doi.org/10.1613/jair.1.11422,3,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,4.6931,1.0,general robot uncertainty,"Make embodied decisions when perception, dynamics, or maps are uncertain.","Introduce a domain-specific planner, estimator, controller, or learning method.",represented uncertainty aligns with control relevance; model and task structure remain stable,"state variables, sensing costs, actuation model, task objective","irrelevant uncertainty, hidden coupling between representation size and decision quality",domain-specific uncertainty handling in robotics,minimal ambiguity objects that certify when more belief detail is unnecessary,"Multi-modal journey planning, which allows multiple types of transport within a single trip, is becoming increasingly popular, due to a strong practical interest and an increasing availability of data. In real life, transport networks feature uncertainty. Yet, most approaches assume a deterministic environment, making plans more prone to failures such as missed connections and major delays in the arrival.&#x0D; This paper presents an approach to computing optimal contingent plans in multi-modal journey planning. The problem is modeled as a search in an and/or state space. We describe search enhancements used on top of the AO* algorithm. Enhancements include admissible heuristics, multiple types of pruning that preserve the completeness and the optimality, and a hybrid search approach with a deterministic and a nondeterministic search. We demonstrate an NP-hardness result, with the hardness stemming from the dynamically changing distributions of the travel time random variables. We perform a detailed empirical analysis on realistic transport networks from cities such as Montpellier, Rome and Dublin. The results demonstrate the effectiveness of our algorithmic contributions, and the benefits of contingent plans as compared to standard sequential plans, when the arrival and departure times of buses are characterized by uncertainty."
902,landscape,,https://openalex.org/W3133138824,Policy Rollout Action Selection in Continuous Domains for Sensor Path Planning,2021,IEEE Transactions on Aerospace and Electronic Systems,Folker Hoffmann; Alexander Charlish; Matthew Ritchie; Hugh Griffiths,https://doi.org/10.1109/taes.2021.3057649,https://doi.org/10.1109/taes.2021.3057649,15,robotics partial observability POMDP belief space planning | robot planning under uncertainty belief state POMDP,4.6863,0.0,motion planning/MPC,"Make embodied decisions when perception, dynamics, or maps are uncertain.","Introduce a domain-specific planner, estimator, controller, or learning method.",represented uncertainty aligns with control relevance; model and task structure remain stable,"state variables, sensing costs, actuation model, task objective","irrelevant uncertainty, hidden coupling between representation size and decision quality",domain-specific uncertainty handling in robotics,minimal ambiguity objects that certify when more belief detail is unnecessary,"Policy rollout is a method for the online computation of future costs in approximate dynamic programming and has been utilized for various problems, including sensor management. In previous work, it has predominately been applied to the selection of actions from discrete sets. In this article, we present methods for action selection from continuous sets and analyze their tradeoffs. The methods are evaluated on the problem of sensor path planning, with the intent of minimizing the time to localize an emitter using bearing measurements."
